02-12-2016 01:49:14  #  start point: 65  #  data number: 5
test_data: [ 1,  2]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 8,  9, 10]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 8,  9, 11]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 8, 10, 11]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 9, 10, 11]  #  total: 360  #  correct_rate: 0.988889
test_data: [ 1,  2,  3,  4]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  3,  5]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  3,  6]  #  total: 360  #  correct_rate: 0.983333
test_data: [ 1,  2,  3,  7]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  3,  8]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  3,  9]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  3, 10]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  3, 11]  #  total: 360  #  correct_rate: 0.994444
test_data: [ 1,  2,  4,  5]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  4,  6]  #  total: 360  #  correct_rate: 0.983333
test_data: [ 1,  2,  4,  7]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  4,  8]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  4,  9]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  4, 10]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  4, 11]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  5,  6]  #  total: 360  #  correct_rate: 0.950000
test_data: [ 1,  2,  5,  7]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  5,  8]  #  total: 360  #  correct_rate: 0.997222
test_data: [ 1,  2,  5,  9]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  5, 10]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  5, 11]  #  total: 360  #  correct_rate: 0.966667
test_data: [ 1,  2,  6,  7]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  6,  8]  #  total: 360  #  correct_rate: 0.983333
test_data: [ 1,  2,  6,  9]  #  total: 360  #  correct_rate: 0.966667
test_data: [ 1,  2,  6, 10]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  6, 11]  #  total: 360  #  correct_rate: 0.983333
test_data: [ 1,  2,  7,  8]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  7,  9]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  7, 10]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  7, 11]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  8,  9]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  8, 10]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  8, 11]  #  total: 360  #  correct_rate: 0.988889
test_data: [ 1,  2,  9, 10]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  2,  9, 11]  #  total: 360  #  correct_rate: 0.969444
test_data: [ 1,  2, 10, 11]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  3,  4,  5]  #  total: 360  #  correct_rate: 1.000000
test_data: [ 1,  3,  4,  6]  #  total: 360  #  correct_rate: 0.983333
